source_type,source_id,Name,original_SEName,final_handle,collision
category,1,Trophies,trophies,trophies,
category,2,Medallions,medallions,medallions,
category,3,Plaques,plaques,plaques,
category,4,Coach Awards,coach-trophies-awards,coach-trophies-awards,
category,5,Corporate Awards,corporate-awards,corporate-awards,
category,6,MX500 Series Trophies ,mx500-series-trophies,mx500-series-trophies,
category,7,All Star Insert Trophies,all-star-insert-trophies,all-star-insert-trophies,
category,9,Sculpted Ice Acrylic Trophies ,sculpted-ice-acrylic-trophies,sculpted-ice-acrylic-trophies,
category,10,Ball Holder Trophies,ball-holder-trophies,ball-holder-trophies,
category,11,Face Bobblehead Trophies,face-bobblehead-trophies,face-bobblehead-trophies,
category,12,Motion Extreme Trophies ,motion-extreme-trophies,motion-extreme-trophies,
category,13,Rock n' Bop Bobblehead Trophies,rock-n-bop-bobblehead-trophies,rock-n-bop-bobblehead-trophies,
category,14,Bobblehead Trophies No Face,bobblehead-trophies-no-face,bobblehead-trophies-no-face,
category,15,Resin Sculpture Trophies,resin-sculpture-trophies,resin-sculpture-trophies,
category,19,Diamondback Trophies,diamondback-trophies,diamondback-trophies,
category,21,Crystal Award Trophies,crystal-award-trophies,crystal-award-trophies,
category,23,Mascot Bobblehead Trophies,mascot-bobblehead-trophies,mascot-bobblehead-trophies,
category,26,Perpetual Trophies,perpetual-trophies,perpetual-trophies,
category,28,Spin Trophies,spin-trophies,spin-trophies,
category,29,Mascot Resin Trophies,mascot-resin-trophies,mascot-resin-trophies,
category,31,Full Size Resin Ball Trophies,full-size-resin-ball-trophies,full-size-resin-ball-trophies,
category,32,Colortek Trophies,colortek-trophies,colortek-trophies,
category,34,Round Resin Trophies,round-resin-trophies,round-resin-trophies,
category,36,Special Edition Trophies,special-edition-trophies,special-edition-trophies,
category,37,Color Diamond Plates Trophies,color-diamond-plates-trophies,color-diamond-plates-trophies,
category,41,Trophy Cup Trophies,trophy-cup-trophies,trophy-cup-trophies,
category,43,Corporate Gift Set Awards,corporate-gift-set-awards,corporate-gift-set-awards,
category,44,Monster Trophies ,monster-trophies,monster-trophies,
category,45,Live Action Trophies,live-action-trophies,live-action-trophies,
category,51,Centurion Trophies,centurion-trophies,centurion-trophies,
category,52,Gold Star Trophies,gold-star-trophies,gold-star-trophies,
category,53,Mercury Silver Resin Trophies,mercury-silver-resin-trophies,mercury-silver-resin-trophies,
category,55,Funny/Joke Trophies,funnyjoke-trophies,funnyjoke-trophies,
category,56,Elite Resin Trophies,elite-resin-trophies,elite-resin-trophies,
category,57,Cup Trophies ,cup-trophies,cup-trophies,
category,61,Insert Medals,insert-medals,insert-medals,
category,62,XR Medals,xr-medals,xr-medals,
category,63,Die Cast Medals  ,die-cast-medals,die-cast-medals,
category,64,"1st, 2nd, & 3rd Color Medals  ",1st-2nd-3rd-color-medals,1st-2nd-3rd-color-medals,
category,65,Custom Medals & Dog Tags,custom-medals-dog-tags,custom-medals-dog-tags,
category,66,Key Chain Medals,key-chain-medals,key-chain-medals,
category,68,Mascot Medals,mascot-medals,mascot-medals,
category,69,Star Color Enamel Medals,star-color-enamel-medals,star-color-enamel-medals,
category,70,"1st, 2nd, & 3rd Place Medals",1st-2nd-3rd-place-medals,1st-2nd-3rd-place-medals,
category,74,Motion Extreme Plaques ,motion-extreme-plaques,motion-extreme-plaques,
category,75,Star Plaques,star-plaques,star-plaques,
category,78,Diamond Resin Plaques ,diamond-resin-plaques,diamond-resin-plaques,
category,79,Custom Logo Plaques ,custom-logo-plaques,custom-logo-plaques,
category,81,Picture Frame Plaques ,picture-frame-plaques,picture-frame-plaques,
category,82,Ribbon Holder Plaques,ribbon-holder-plaques,ribbon-holder-plaques,
category,83,Resin Mount Plaques,resin-mount-plaques,resin-mount-plaques,
category,84,Trophy Plates,trophy-plates,trophy-plates,
category,85,Coach Plaques,coach-plaques,coach-plaques,
category,87,Sports Themed Photo Plaques,sports-themed-photo-plaques,sports-themed-photo-plaques,
category,89,Thanks Coach Plaques,thanks-coach-plaques,thanks-coach-plaques,
category,91,Bobbleheads,coach-bobblehead-trophies,coach-bobblehead-trophies,
category,92,Whistles,coach-gift-whistles,coach-gift-whistles,
category,94,Coach Trophies,coach-trophies,coach-trophies,
category,99,Premium Crystal Awards,premium-crystal-awards,premium-crystal-awards,
category,100,Sports Mug Trophies,sports-mug-trophies,sports-mug-trophies,
category,102,Last Place Awards,last-place-coach-awards,last-place-coach-awards,
category,104,Picture Frames Plaques,picture-frames-plaques,picture-frames-plaques,
category,105,Plaques with Resin Mounts,plaques-with-resin-mounts,plaques-with-resin-mounts,
category,109,Metal Sports Balls Trophies,metal-sports-balls-trophies,metal-sports-balls-trophies,
category,112,Ball Holder Trophies,ball-holder-trophies,ball-holder-trophies-2,Y
category,113,Motion Extreme Plaques,motion-extreme-plaques,motion-extreme-plaques-2,Y
category,115,Trophy Cups,trophy-cups,trophy-cups,
category,116,Sports Crystal Awards,sports-crystal-awards,sports-crystal-awards,
category,117,Photo Plaques,coach-sports-team-photo-plaques,coach-sports-team-photo-plaques,
category,118,Mercury Trophies,mercury-trophies,mercury-trophies,
category,119,Trophy Sets,trophy-sets,trophy-sets,
category,120, Full Size Sports Ball Trophies,full-size-sports-ball-trophies,full-size-sports-ball-trophies,
category,121,Special Edition Trophies,special-edition-trophies,special-edition-trophies-2,Y
category,122,Diamond Plate Trophies,diamond-plate-trophies,diamond-plate-trophies,
category,125,3D Plaques,3d-plaques,3d-plaques,
category,127,Mascot Trophies,mascot-trophies,mascot-trophies,
category,130,Silver Wine Cooler Trophies,silver-wine-cooler-trophies,silver-wine-cooler-trophies,
category,133,Teamwork Trophies,teamwork-trophies,teamwork-trophies,
category,134,Sportsmanship Trophies ,sportsmanship-trophies,sportsmanship-trophies,
category,135,Mascot Bobblehead Trophies,mascot-bobblehead-trophies,mascot-bobblehead-trophies-2,Y
category,136,Custom Crystal Awards,custom-crystal-awards,custom-crystal-awards,
category,137,Glass Art Trophies,glass-art-trophies,glass-art-trophies,
category,138,Acrylic Awards,acrylic-awards,acrylic-awards,
category,142,Eagle Awards ,eagle-awards,eagle-awards,
category,143,Crystal Bowls & Vases,crystal-bowls-vases,crystal-bowls-vases,
category,144,Star Award Trophies ,star-award-trophies,star-award-trophies,
category,145,Globe Awards ,globe-awards,globe-awards,
category,146,Humor & Joke Trophies,humor-joke-trophies,humor-joke-trophies,
category,147,Gifts,personalized-business-gifts,personalized-business-gifts,
category,149,Italian Trophy Cups,italian-trophy-cups,italian-trophy-cups,
category,151,Achievement & Victory,achievement-victory,achievement-victory,
category,152,Teamwork Awards,teamwork-awards,teamwork-awards,
category,172,New,new,new,
category,173,Acrylic Awards & Trophies,acrylic-awards-trophies,acrylic-awards-trophies,
category,174,Bobblehead Trophies,bobblehead-trophies,bobblehead-trophies,
category,175,Column Trophies,column-trophies,column-trophies,
category,177,Crystal Awards,crystal-awards,crystal-awards,
category,178,Trophy Cups,trophy-cups,trophy-cups-2,Y
category,179,Keychains,keychains,keychains,
category,180,Mascot Trophies,mascot-trophies,mascot-trophies-2,Y
category,181,Mugs,mugs,mugs,
category,182,Perpetual Awards,perpetual-awards,perpetual-awards,
category,183,Picture Frames,picture-frames,picture-frames,
category,184,Custom Awards,custom-awards,custom-awards,
category,186,Ribbons,ribbons,ribbons,
category,190,Closeout,closeout,closeout,
category,206,Resin Figure Trophies,resin-figure-trophies,resin-figure-trophies,
category,213,Sport Picture Frames,sport-picture-frames,sport-picture-frames,
category,215,Photo Plaques,photo-plaques,photo-plaques,
category,217,Sports Themed Photo Plaques,sports-themed-photo-plaques,sports-themed-photo-plaques-2,Y
category,223,Mascot Bobblehead Trophies,mascot-bobblehead-trophies,mascot-bobblehead-trophies-3,Y
category,226,Metal Trophy Cups,metal-trophy-cups,metal-trophy-cups,
category,228,Italian Trophy Cups,italian-trophy-cups,italian-trophy-cups-2,Y
category,234,No Face Bobblehead Trophies,no-face-bobblehead-trophies,no-face-bobblehead-trophies,
category,235,Bobbleheads Trophies with Faces,bobbleheads-trophies-with-faces,bobbleheads-trophies-with-faces,
category,236,Rock n' Bop Bobblehead Trophies,rock-n-bop-bobblehead-trophies,rock-n-bop-bobblehead-trophies-2,Y
category,237,Trophies On Sale,trophies-on-sale,trophies-on-sale,
category,239,Coach Bobblehead Trophies,coach-bobblehead-trophies,coach-bobblehead-trophies-2,Y
category,240,Police & Fire Bobblehead Trophies,police-fire-bobblehead-trophies,police-fire-bobblehead-trophies,
category,244,Crystal Cup Trophies,crystal-cup-trophies,crystal-cup-trophies,
category,248,Resin Pedestal Sports Ball Trophies,resin-pedestal-sports-ball-trophies,resin-pedestal-sports-ball-trophies,
category,249,Insert Trophies,insert-trophies,insert-trophies,
category,251,Mascot Medals,mascot-medals,mascot-medals-2,Y
category,253,Pinewood Derby Racing Flag Trophies,pinewood-derby-racing-flag-trophies,pinewood-derby-racing-flag-trophies,
category,255,Tower Trophies ,tower-trophies,tower-trophies,
category,258,Little Buddy Trophies,little-buddy-trophies,little-buddy-trophies,
category,259,SuperStar Trophies,superstar-trophies,superstar-trophies,
category,261,Sports Crystals Trophies,sports-crystals-trophies,sports-crystals-trophies,
category,262,Mascot Bobblehead Trophies,mascot-bobblehead-trophies,mascot-bobblehead-trophies-4,Y
category,263,Star Blast Medals,star-blast-medals,star-blast-medals,
category,265,Plaques,plaques,plaques-2,Y
category,266,Corporate Plaques,corporate-plaques,corporate-plaques,
category,267,Crystal Sports Awards,crystal-sports-awards,crystal-sports-awards,
category,272,Gallery Resin Trophies,gallery-resin-trophies,gallery-resin-trophies,
category,274,Teamwork/Sportsmanship Awards,teamworksportsmanship-awards,teamworksportsmanship-awards,
category,275,Flame Series Resin Trophies,flame-series-resin-trophies,flame-series-resin-trophies,
category,280,Universal Series Trophies,universal-series-trophies,universal-series-trophies,
category,281,Universal Trophies,universal-trophies,universal-trophies,
category,285,Perpetual Plaques,perpetual-plaques,perpetual-plaques,
category,287,Mug Trophies,mug-trophies,mug-trophies,
category,288,Blowout Plaques,blowout-plaques,blowout-plaques,
category,289,Billboard Trophies,billboard-trophies,billboard-trophies,
category,291,3D Oval Plate Trophies,3d-oval-plate-trophies,3d-oval-plate-trophies,
category,292,Value Medals,value-medals,value-medals,
category,293,XPlosion Oval Trophies,xplosion-oval-trophies,xplosion-oval-trophies,
category,294,Xplosion Oval Trophies,xplosion-oval-trophies,xplosion-oval-trophies-2,Y
category,297,3-D Medals,3-d-medals,3-d-medals,
category,298,Starburst Trophies,starburst-trophies,starburst-trophies,
category,299,T-Shirts,t-shirts,t-shirts,
category,300,Color Series Plaques,color-series-plaques,color-series-plaques,
category,301,Acrylic Awards,acrylic-awards,acrylic-awards-2,Y
category,302,Comet Resin Series Trophies,comet-resin-series-trophies,comet-resin-series-trophies,
category,305,Star Medals,star-medals,star-medals,
category,307,Triumph Series Trophies,triumph-series-trophies,triumph-series-trophies,
category,308,Resin Sport Ball Trophies,resin-sport-ball-trophies,resin-sport-ball-trophies,
category,309,Sports Themed Picture Frames,sports-themed-picture-frames,sports-themed-picture-frames,
category,310,Diamond Cut Medals,diamond-cut-medals,diamond-cut-medals,
category,311,Star Power Trophies,star-power-trophies,star-power-trophies,
category,313,Teamwork Plaques,teamwork-plaques,teamwork-plaques,
category,314,M3XL Medals,m3xl-medals,m3xl-medals,
category,315,Custom Acrylic Awards,custom-acrylic-awards,custom-acrylic-awards,
category,318,3D Star Resin Trophies,3d-star-resin-trophies,3d-star-resin-trophies,
category,320,Custom Trophies,custom-trophies,custom-trophies,
category,322,Running Star Trophies,running-star-trophies,running-star-trophies,
category,323,Sports Motion Trophies,sports-motion-trophies,sports-motion-trophies,
category,325,Victory Series Trophies,victory-series-trophies,victory-series-trophies,
category,326,Legends of Fame Trophies,legends-of-fame-trophies,legends-of-fame-trophies,
category,327,Legends of Fame Plaques,legends-of-fame-plaques,legends-of-fame-plaques,
category,329,Star Figure Trophies,star-figure-trophies,star-figure-trophies,
category,330,Super Star Medals,super-star-medals,super-star-medals,
category,331,Fantasy Trophies,fantasy-trophies,fantasy-trophies,
category,332,Clocks,clocks,clocks,
category,333,Clocks,clocks,clocks-2,Y
category,334,Power Resin Trophies,power-resin-trophies,power-resin-trophies,
category,336,Large Resin Series Trophies,large-resin-series-trophies,large-resin-series-trophies,
category,337,Spiral Trophies,spiral-trophies,spiral-trophies,
category,338,Saturn Resin Series Trophies,saturn-resin-series-trophies,saturn-resin-series-trophies,
category,339,Ultra Action Sports Resin Trophies,ultra-action-sports-resin-trophies,ultra-action-sports-resin-trophies,
category,341,Burst Medals,burst-medals,burst-medals,
category,342,Tempest Resin Trophies,tempest-resin-trophies,tempest-resin-trophies,
category,343,Shadow Sport Resin Trophies,shadow-sport-resin-trophies,shadow-sport-resin-trophies,
category,344,Mega Medals,mega-medals,mega-medals,
category,345,Awareness Ribbon Awards,awareness-ribbon-awards,awareness-ribbon-awards,
category,346,Junior Star Resin Trophies,junior-star-resin-trophies,junior-star-resin-trophies,
