source_type,source_id,parent_id,source_guid,Name,SEName,Description,Summary,SETitle,SEDescription,SEKeywords,DisplayOrder,Published
category,1,0,23EEB338-3858-4B12-AAA3-CE5DB4141442,Trophies,trophies,,,Sports Trophies | Resin Trophies | Crystal Trophies,"Sports Trophies, Resin Trophies, Crystal Trophies.  Free shipping & personalization.  Unique Sports Trophies for all ocassions.","Sports Trophies, Resin Trophies, Crystal Trophies, Bobblehead Trophies",2,1
category,2,0,165463C9-FDCB-452B-986F-B20F1BB7ED03,Medallions,medallions,"Award medals are an outstanding way to recognize any job well done. &nbsp;TrophyPartner.com offers an extensive selection of medals for all sports and activities.&nbsp; We offer die cast medals, insert medals, custom medals, dog tags and much more.&nbsp; Each recognition medal includes a free neck ribbon in your choice of color, sport, or activity.<br />
<br />
We offer medals in all sizes and shapes from value priced to premium. &nbsp;Can't find the award medal you are looking for or want to create your own?&nbsp; We offer an extensive selection of custom made award medals. &nbsp;Contact us for more information or browse our custom medals section to see all of the exciting options. &nbsp;&nbsp;",,Medals | Dog Tags | Key Chains | Custom Medals ,"Unique award medals, dog tags, sport keychains, and custom medals. Large selection, easy to order.  Rush service available.","Medals, Dog Tags, Key Chains, Custom Medals",8,1
category,3,0,421E92D1-B826-42D2-984C-F2C384308A9D,Plaques,plaques,,,Award Plaques | Custom Engraved Plaques | TrophyPartner.com,"Award Plaques. TrophyPartner.com offers custom engraved plaques with your logo and text for sporting organizations and business. Available in a wide variety of sizes, materials, and budgets.  ","Plaques, Sport Plaques, Corporate Plaques, Coach Plaques, Award Plaques",10,1
category,4,0,780EF85C-AE58-4A07-B28F-B126DA9A2ECE,Coach Awards,coach-trophies-awards,"Don't forget to thank those special men and women who volunteer their
time and energy and dedicate it to coaching. Say a special thank you
with one of our awesome coach gifts and trophies. <br />
<br />
TrophyPartner.com offers a full line of great coach awards including whistles, photo plaques, coach bobbleheads, mugs and much more.&nbsp; We carry team ball holders across most major sports where each member of the team can sign a ball and present it to the coach for a long lasting momento.<br />
<br />
With free personalization and fast shipping times we can deliver your order quickly.&nbsp; Our 3 day TurboPartner Service is the fastest around.<br />
<br />
Start shopping our Coach Awards now to make sure your coach gets the recognition they deserve.",,Coach Gifts | Awards for Coaches | Coach Whistles | Trophies for Coaches,"Coach Gifts, Personalized Awards for Coaches including whistles, trophies, plaques, and more.  Free personalization and shipping.  Fast delivery.","Coach Gifts, Gifts for Coaches, Coach Whistles, Coach Trophies, Coach Plaques, Awards for Coaches",25,1
category,5,0,2AED5753-EE94-48F0-921A-EAD8A833CC25,Corporate Awards,corporate-awards,"<div class=""category-description std"">Reward corporate excellence and achievement with a high quality
award from TrophyPartner.com.  With over 15 years of experience, you will receive
your awards on time, accurate and complete.
<br />
<br />
Using the latest technology, we masterfully craft your award. Free personalization is included in the
price of your award. Your corporate logo and meaningful message are
artfully designed by our professional staff.  We can guide you in
choosing an award that is not only suitable, but also powerful and
memorable - all within your budget.
<br />
<br />
Our corporate awards line contains an assortment of shapes,
sizes, colors and artistic concepts.  These include acrylic awards, clocks, corporate gifts, crystal awards, engraved
plaques, and all kinds of business trophies.  Browse our corporate
awards now to see the wide selection in every price range.
Can't find what you need?&nbsp; Let us make a <a title=""Custom Award"" target=""_self"" href=""t-CustomAwards.aspx"">custom award</a> designed around your logo. <br />
<br />
We offer awards for teamwork, star performance, global thinking, bright ideas, and much more.<br />
<br />
Honor someone special with a stunning award, the perfect
acknowledgment of appreciation and corporate recognition. At TrophyPartner.com, together with you we celebrate achievement. <br />
</div>",,Corporate Awards | Employee Recognition Awards| TrophyPartner.com,Corporate Awards. Celebrate employees by recognizing their contributions to your business.  Personalized Corporate Awards to recognize the top performers in your organization.,"Corporate Awards, employee recognition, employee recognition awards, business trophies, personalized business awards ",6,1
category,6,1,B8CBA0A5-0ACE-427A-A092-45EB8AC468A6,MX500 Series Trophies ,mx500-series-trophies,,,MX500 Series Trophies,MX500 Series Trophies are available across most sports and events.  These resin trophies are valued priced and sure to please.  Free personalization.,MX500 Series Trophies ,1,1
category,7,1,1441CE5E-5851-4617-9C9C-D2105D206B61,All Star Insert Trophies,all-star-insert-trophies,,,All Star Insert Trophies,All Star Insert Trophies for most major sports.  These inexpensive awards make a great particuipation trophy.  Free personalization included.,All Star Insert Trophies,1,0
category,9,1,C8D102B9-DCCA-4B08-B2AD-648EB3E7FDE1,Sculpted Ice Acrylic Trophies ,sculpted-ice-acrylic-trophies,,,Sculpted Ice Acrylic Trophies,,Sculpted Ice Acrylic Trophies,1,0
category,10,1,80E0B67B-3813-4647-97DC-0BBAF6326354,Ball Holder Trophies,ball-holder-trophies,,,Ball Holder Trophies ,Ball Holder Trophies are great to use to save that special game ball or use to present to a special coach or recipeint.  We include free personalization to help you remember the moment.,Ball Holder Trophies,1,1
category,11,1,DCD19057-FB76-4174-8217-4D38E0B3C7DD,Face Bobblehead Trophies,face-bobblehead-trophies,,,Face Bobblehead Trophies,,Face Bobblehead Trophies ,1,1
category,12,1,B60FB6DC-402B-4A96-9A76-8142E5A423EB,Motion Extreme Trophies ,motion-extreme-trophies,,,Motion Extreme Trophies,,Motion Extreme Trophies ,1,1
